,Model,AmazonCounterfactualClassification,ArXivHierarchicalClusteringP2P,ArXivHierarchicalClusteringS2S,ArguAna,AskUbuntuDupQuestions,Banking77Classification,BiorxivClusteringP2P.v2,CQADupstackGamingRetrieval,CQADupstackUnixRetrieval,ClimateFEVERHardNegatives,FiQA2018,HotpotQAHardNegatives,ImdbClassification,MTOPDomainClassification,MassiveIntentClassification,MassiveScenarioClassification,MedrxivClusteringP2P.v2,MedrxivClusteringS2S.v2,MindSmallReranking,SCIDOCS,SICK-R,STS12,STS13,STS14,STS15,STS17,STS22.v2,STSBenchmark,SprintDuplicateQuestions,StackExchangeClustering.v2,StackExchangeClusteringP2P.v2,SummEvalSummarization.v2,TRECCOVID,Touche2020Retrieval.v3,ToxicConversationsClassification,TweetSentimentExtractionClassification,TwentyNewsgroupsClustering.v2,TwitterSemEval2015,TwitterURLCorpus
104,Marbert-all-nli-triplet-Matryoshka,69.27615,48.551,46.237899999999996,13.420000000000002,48.267900000000004,62.360400000000006,12.2309,10.796,6.186,0.28800000000000003,0.9259999999999999,5.651,61.51839999999999,74.47170000000001,53.9084,57.71815,21.6372,20.9103,26.635399999999997,1.13,65.80163441928238,63.00297824477175,52.23198766098021,59.2261024017655,70.01912156519296,70.9196,54.638799999999996,61.16768766134144,67.7478,39.5394,31.246299999999998,28.2139,5.276,2.2689999999999997,54.8926,56.539300000000004,16.084300000000002,57.8596,78.233
105,MicroLlama-text-embedding,74.23880597014926,56.81659433257183,49.94804999366301,35.442,52.27435199495557,72.31818181818183,32.876466058527356,35.282000000000004,20.605,13.782,13.613,28.296,63.6532,82.45326037391703,58.05648957632818,62.09482178883658,34.17461183286095,29.48057125585178,,,,,,,,,,,,,,,,,,,,,
106,silma-embeddding-matryoshka-v0.1,67.17165,48.4272,47.126200000000004,22.512,48.347899999999996,59.7597,17.5322,16.744,8.688,1.362,1.796,10.424999999999999,58.49720000000001,66.4901,47.53465,52.9887,24.756700000000002,22.6619,26.8652,1.569,63.7455,55.162800000000004,51.885400000000004,52.9933,67.84700000000001,74.42197838273297,59.03774516602592,61.8289,73.41720000000001,41.8662,32.5758,24.4468,5.195,4.1129999999999995,57.226600000000005,46.083800000000004,17.0792,53.3914,80.1466
107,Arabert-all-nli-triplet-Matryoshka,63.5597,48.3142,47.1701,15.921,48.2166,61.236999999999995,15.0496,12.015,7.542999999999999,0.625,2.2720000000000002,7.992000000000001,54.17960000000001,63.07855,44.08535,49.2755,23.1878,21.9505,27.7628,1.7309999999999999,57.64441663261227,69.67060431422327,51.95037157769884,57.36607721958864,70.0994395240558,70.7416,55.9744,61.592426810014366,78.0327,41.4071,32.872099999999996,28.1188,7.265000000000001,1.973,52.280300000000004,41.7997,13.293199999999999,48.5726,74.7241
108,distilrubert-small-cased-conversational,70.95519999999999,48.8063,49.0006,15.131,45.475100000000005,64.2825,16.6814,12.715000000000002,5.536,0.781,1.6650000000000003,9.286,54.5488,70.96445,52.155649999999994,54.8612,24.0616,21.7023,24.951,0.483,56.7039,40.8283,52.222199999999994,46.7599,60.6444,60.301300000000005,44.2677,55.9747,33.1971,40.408500000000004,30.917699999999996,30.3964,15.182,6.665,58.886700000000005,43.438,13.2905,50.3785,63.7764
109,sbert_large_mt_nlu_ru,60.8881,46.6827,48.2583,15.623000000000001,46.5527,39.123400000000004,14.4841,4.135,2.828,0.529,0.518,3.6740000000000004,56.133599999999994,72.1357,37.922650000000004,48.77635,23.7572,22.1801,26.7196,0.372,65.9096,48.13,48.0436,46.603899999999996,65.337,68.57520000000001,51.464600000000004,58.8135,32.9189,43.143,31.5848,19.4354,7.164,2.548,56.20119999999999,47.3656,15.313199999999998,53.205400000000004,74.7902
110,rubert-base-cased-sentence,59.19405,49.744899999999994,50.441,9.386999999999999,45.6858,48.9838,18.9806,4.827,3.032,0.861,0.191,4.686,57.732000000000006,59.92485,36.92615,39.95755,23.5856,22.5868,26.154300000000003,1.179,56.984100000000005,59.0229,46.990300000000005,50.879,64.5847,67.1251,52.2191,55.789100000000005,48.254599999999996,41.7072,33.162000000000006,19.8912,7.796,0.527,53.2764,43.271100000000004,17.2273,44.6385,70.15
111,sbert_large_nlu_ru,61.54475,47.1767,46.4005,17.294,43.6512,34.785700000000006,15.447099999999999,3.411,2.046,0.35100000000000003,0.331,2.419,55.9652,68.63695,36.639900000000004,48.6144,24.988599999999998,21.0427,26.864900000000002,0.23500000000000001,58.8573,31.4807,37.108200000000004,36.649,58.2549,62.4962,57.743,46.7987,15.3427,42.5522,31.3367,20.9005,3.914,1.0710000000000002,57.76369999999999,47.2128,14.9672,51.3982,73.9826
112,rubert-base-cased,64.70145000000001,50.0572,49.8966,13.020999999999999,46.463,51.539,18.4333,1.086,1.075,0.42700000000000005,0.16199999999999998,1.464,54.602799999999995,62.779450000000004,40.621050000000004,44.026650000000004,24.4953,22.9253,28.0559,0.346,44.2201,27.752900000000004,39.8322,34.892,43.051899999999996,56.2898,38.329,39.8376,21.8011,41.3124,29.8012,23.0225,4.0489999999999995,0.068,55.356399999999994,40.7866,14.3706,42.3065,55.51859999999999
113,deberta-v1-base,64.47765,49.234899999999996,47.443999999999996,12.391,43.9242,54.055200000000006,15.0437,1.466,1.078,0.087,0.319,0.898,52.6164,66.03435,45.0439,45.129850000000005,23.8979,21.3612,27.660200000000003,0.183,49.9409,44.7604,46.6508,38.153,54.8474,60.312200000000004,44.81,41.3236,35.5062,40.7468,29.234900000000003,23.753,3.556,0.72,56.6113,44.6237,13.456299999999999,45.7295,64.8262
114,MiniCPM-Embedding,,,,64.65,,,,,,,56.64,,,,,,,,,22.38,,,,,,,,,,,,,81.32,,,,,,
115,e5-R-mistral-7b,,,,58.994,,,,,,,58.68,,,,,,,,,19.259999999999998,,,,,,,,,,,,,84.399,,,,,,
116,ternary-weight-embedding,64.55969999999999,47.562599999999996,45.7884,4.832,45.8168,49.4286,10.268099999999999,2.008,1.864,0.053,0.312,1.165,51.2528,60.18900000000001,,,22.1333,19.4117,25.5838,0.257,52.4853,46.5666,58.2034,51.6049,57.0453,64.13250000000001,33.808,52.1587,41.6507,37.5317,30.738,20.593600000000002,6.304,0.643,53.256800000000005,39.7538,9.1819,51.2814,68.4552
